Countermeasure,Cost
Crosswalk,600
Crosswalk,384.08
Crosswalk,322
Crosswalk,335.49
Crosswalk,3354.92
Crosswalk,3840.83
Crosswalk,3219.99
Crosswalk,1569.22
Crosswalk,128.03
Crosswalk,107.33
Crosswalk,2092.3
Crosswalk,111.83
Crosswalk,214.67
Crosswalk,1499.48
FlashingSignal,3712.02
FlashingSignal,2693.93
FlashingSignal,7291.89
FlashingSignal,17122.8
FlashingSignal,2445
FlashingSignal,4013.26
FlashingSignal,5650.67
FlashingSignal,5408.66
FlashingSignal,6140
FlashingSignal,15254
FlashingSignal,15431.64
FlashingSignal,2964.08
FlashingSignal,4933.56
FlashingSignal,2872.84
FlashingSignal,3925.28
FlashingSignal,914.07
FlashingSignal,3857.37
FlashingSignal,4079.98
FlashingSignal,2939.29
FlashingSignal,4659.4
FlashingSignal,718.14
FlashingSignal,5954.65
FlashingSignal,2939.28
FlashingSignal,4411.96
FlashingSignal,5536.46
FlashingSignal,5466.06
FlashingSignal,4620.5
FlashingSignal,11881.92
FlashingSignal,16270.65
FlashingSignal,7421.98
FlashingSignal,23921.81
FlashingSignal,41845.96
FlashingSignal,22691.99
FlashingSignal,32883.95
FlashingSignal,35206.4
FlashingSignal,26608.8
FlashingSignal,16815.65
FlashingSignal,16081.96
FlashingSignal,52307.46
FlashingSignal,8369.19
FlashingSignal,12238.6
PHB,769.66
PHB,601.29
PHB,1158.95
PHB,192.11
PHB,423.79
PHB,417.11
PHB,1061.61
PHB,1088.35
PHB,492.71
PHB,1141.52
PHB,420.92
PHB,3281.87
PHB,171.23
PHB,1022.65
PHB,1644.83
PHB,184.23
PHB,580.55
PHB,1183.66
PHB,1338.05
PHB,156922.37
PHB,10000
PHB,22366.14
PHB,75133.04
PHB,3096.08
PHB,2898.42
PHB,679.61
PHB,4993.08
PHB,2432.52
PHB,193199.25
PHB,978.2
PHB,978.2
PHB,978.2
PHB,978.2
PHB,146.88
PHB,383.59
PHB,218.13
PHB,827.62
PHB,532.89
PHB,580.15
PHB,182.44
PHB,999.57
PHB,912.18
PHB,667.57
PHB,1136.17
PHB,342.86
PHB,769.66
PHB,601.29
PHB,1158.95
PHB,192.11
PHB,423.79
PHB,417.11
PHB,1061.61
PHB,1088.35
PHB,492.71
PHB,1141.52
PHB,420.92
PHB,3281.87
PHB,171.23
PHB,1022.65
PHB,1644.83
PHB,184.23
PHB,580.55
PHB,1183.66
PHB,1338.05
PHB,156922.37
PHB,10000
PHB,22366.14
PHB,75133.04
PHB,3096.08
PHB,2898.42
PHB,679.61
PHB,4993.08
PHB,2432.52
PHB,193199.25
PHB,978.2
PHB,978.2
PHB,978.2
PHB,978.2
PHB,146.88
PHB,383.59
PHB,218.13
PHB,827.62
PHB,532.89
PHB,580.15
PHB,182.44
PHB,999.57
PHB,912.18
PHB,667.57
PHB,1136.17
PHB,342.86
